ParticleID,X,Y,Z
454,2.09268e+08,-2.15596e+08,2.08406e+08
455,3.94877e+07,-2.79902e+08,-4.77124e+07
456,2.03841e+08,-3.25156e+08,-1.66292e+08
457,-1.74853e+08,-3.89237e+08,-1.12237e+09
458,1.52195e+08,-1.01324e+08,-1.14058e+09
459,1.81405e+08,1.22566e+08,-1.36316e+09
460,5.57198e+07,-3.87925e+08,1.43042e+09
461,-5.14806e+08,-7.85504e+08,6.60194e+08
462,3.18889e+07,-3.86594e+08,5.21276e+08
463,9.74628e+07,-2.72969e+08,5.16705e+08
464,1.90943e+08,-3.69678e+08,1.9593e+08
465,1.55888e+08,-3.62697e+08,-6.63983e+07
466,1.22295e+08,-4.744e+08,-3.41874e+08
467,1.65589e+08,-1.39846e+08,-6.12099e+08
468,-3.48248e+08,-7.41815e+08,-5.4031e+08
469,6.03245e+08,2.39425e+08,-1.88842e+09
470,1.34473e+08,-3.1487e+08,1.08321e+09
471,-6.49652e+07,-5.78342e+08,9.1881e+08
472,2.1306e+08,-7.81166e+08,7.08073e+08
473,2.47355e+08,-7.63374e+08,3.50017e+08
474,1.54776e+08,-7.15376e+08,3.59618e+07
475,2.12565e+08,-7.29576e+08,-3.22031e+07
476,8.92066e+07,-8.12551e+08,-2.36434e+08
477,1.35941e+08,-7.15184e+08,-6.19677e+08
478,1.21754e+08,-6.61857e+08,-9.60905e+08
479,1.34853e+08,-4.99225e+08,-1.46571e+09
480,1.48029e+08,-8.00874e+08,1.33289e+09
481,3.46231e+08,-9.87128e+08,9.30311e+08
482,1.20881e+08,-8.01977e+08,7.38827e+08
483,7.93998e+07,-8.74139e+08,3.71726e+08
484,-2.42571e+07,-9.86597e+08,1.08044e+08
485,1.19932e+06,-7.24904e+08,-1.4124e+08
486,-1.22435e+07,-8.47293e+08,-2.7036e+08
487,-6.38738e+07,-1.05262e+09,-4.15217e+08
488,2.14015e+08,-6.57772e+08,-7.98142e+08
489,1.67558e+08,-6.09483e+08,-1.29915e+09
